"Date","Price","Open","High","Low","Change %"
"May 22, 2018","9.2459","9.2553","9.2858","9.2264","-0.10%"
"May 21, 2018","9.2548","9.2335","9.2584","9.1975","0.10%"
"May 18, 2018","9.2451","9.2596","9.2823","9.2235","-0.14%"
"May 17, 2018","9.2582","9.2693","9.2934","9.2432","-0.12%"
"May 16, 2018","9.2689","9.2916","9.3057","9.2327","-0.25%"
"May 15, 2018","9.2924","9.3611","9.3715","9.2759","-0.75%"
"May 14, 2018","9.3623","9.3778","9.4180","9.3613","-0.14%"
"May 11, 2018","9.3758","9.3547","9.3965","9.3344","0.24%"
"May 10, 2018","9.3529","9.3039","9.3788","9.2963","0.54%"
"May 09, 2018","9.3026","9.3116","9.3394","9.2794","-0.11%"
"May 08, 2018","9.3133","9.3581","9.3732","9.2920","-0.49%"
"May 07, 2018","9.3589","9.3819","9.4033","9.3392","-0.31%"
"May 04, 2018","9.3878","9.4106","9.4171","9.3497","-0.24%"
"May 03, 2018","9.4102","9.3808","9.4268","9.3767","0.31%"
"May 02, 2018","9.3811","9.4138","9.4466","9.3706","-0.35%"
"May 01, 2018","9.4141","9.4790","9.4855","9.4037","-0.69%"
"Apr 30, 2018","9.4797","9.5147","9.5288","9.4678","-0.41%"
"Apr 27, 2018","9.5191","9.4974","9.5236","9.4616","0.25%"
"Apr 26, 2018","9.4957","9.5423","9.5830","9.4907","-0.49%"
"Apr 25, 2018","9.5424","9.5977","9.6052","9.5411","-0.58%"
"Apr 24, 2018","9.5985","9.5741","9.6097","9.5556","0.25%"
"Apr 23, 2018","9.5744","9.6396","9.6420","9.5661","-0.67%"
"Apr 20, 2018","9.6387","9.6890","9.6944","9.6110","-0.52%"
"Apr 19, 2018","9.6890","9.7128","9.7341","9.6762","-0.25%"
"Apr 18, 2018","9.7132","9.7097","9.7327","9.6889","0.03%"
"Apr 17, 2018","9.7106","9.7171","9.7447","9.6835","-0.08%"
"Apr 16, 2018","9.7179","9.6789","9.7305","9.6743","0.39%"
"Apr 13, 2018","9.6798","9.6766","9.6931","9.6609","0.03%"
"Apr 12, 2018","9.6767","9.7087","9.7195","9.6552","-0.32%"
"Apr 11, 2018","9.7080","9.6997","9.7315","9.6923","0.09%"
"Apr 10, 2018","9.6989","9.6711","9.7172","9.6567","0.29%"
"Apr 09, 2018","9.6707","9.6357","9.6786","9.6228","0.32%"
"Apr 06, 2018","9.6402","9.6069","9.6474","9.5866","0.35%"
"Apr 05, 2018","9.6069","9.6371","9.6480","9.5902","-0.31%"
"Apr 04, 2018","9.6371","9.6299","9.6664","9.6198","0.07%"
