"Date","Price","Open","High","Low","Change %"
"Dec 06, 2018","7.8294","7.7782","7.8556","7.7747","0.65%"
"Dec 05, 2018","7.7786","7.7542","7.7929","7.7466","0.28%"
"Dec 04, 2018","7.7572","7.8143","7.8298","7.7381","-0.74%"
"Dec 03, 2018","7.8150","7.8742","7.9125","7.8020","-0.79%"
"Nov 30, 2018","7.8772","7.9156","7.9206","7.8681","-0.41%"
"Nov 29, 2018","7.9096","7.9053","7.9163","7.8819","0.07%"
"Nov 28, 2018","7.9041","7.8472","7.9188","7.8343","0.73%"
"Nov 27, 2018","7.8472","7.8622","7.8832","7.8382","-0.19%"
"Nov 26, 2018","7.8625","7.8820","7.8988","7.8590","-0.23%"
"Nov 23, 2018","7.8807","7.9039","7.9276","7.8696","-0.34%"
"Nov 22, 2018","7.9079","7.8850","7.9280","7.8808","0.27%"
"Nov 21, 2018","7.8864","7.8994","7.9256","7.8822","-0.14%"
"Nov 20, 2018","7.8975","7.9488","7.9614","7.8877","-0.67%"
"Nov 19, 2018","7.9507","7.9152","7.9604","7.9104","0.35%"
"Nov 16, 2018","7.9232","7.8623","7.9253","7.8553","0.79%"
"Nov 15, 2018","7.8608","7.8612","7.8858","7.8225","-0.00%"
"Nov 14, 2018","7.8610","7.8524","7.8873","7.8315","0.09%"
"Nov 13, 2018","7.8540","7.8121","7.8575","7.8055","0.54%"
"Nov 12, 2018","7.8117","7.8830","7.8861","7.8090","-0.94%"
"Nov 09, 2018","7.8861","7.8783","7.9036","7.8698","0.08%"
"Nov 08, 2018","7.8800","7.9058","7.9382","7.8710","-0.34%"
"Nov 07, 2018","7.9067","7.9079","7.9551","7.8879","-0.00%"
"Nov 06, 2018","7.9069","7.9024","7.9126","7.8807","0.08%"
"Nov 05, 2018","7.9002","7.8494","7.9127","7.8439","0.69%"
"Nov 02, 2018","7.8464","7.8963","7.9082","7.8361","-0.66%"
"Nov 01, 2018","7.8989","7.8919","7.9230","7.8844","0.11%"
"Oct 31, 2018","7.8906","7.9051","7.9234","7.8829","-0.17%"
"Oct 30, 2018","7.9040","7.9162","7.9342","7.8979","-0.17%"
"Oct 29, 2018","7.9174","7.9206","7.9435","7.9037","-0.03%"
"Oct 26, 2018","7.9197","7.9041","7.9302","7.8712","0.19%"
"Oct 25, 2018","7.9047","7.9093","7.9405","7.8902","-0.07%"
"Oct 24, 2018","7.9106","7.9594","7.9647","7.9009","-0.62%"
"Oct 23, 2018","7.9596","7.9638","7.9755","7.9405","-0.07%"
"Oct 22, 2018","7.9653","7.9765","8.0116","7.9584","-0.17%"
"Oct 19, 2018","7.9792","7.9442","7.9937","7.9277","0.42%"
"Oct 18, 2018","7.9456","7.9664","7.9977","7.9421","-0.27%"
"Oct 17, 2018","7.9673","8.0000","8.0188","7.9631","-0.41%"
"Oct 16, 2018","8.0003","8.0071","8.0294","7.9968","-0.11%"
"Oct 15, 2018","8.0090","8.0010","8.0343","7.9858","0.06%"
"Oct 12, 2018","8.0044","7.9895","8.0332","7.9811","0.20%"
"Oct 11, 2018","7.9882","7.9760","8.0223","7.9565","0.14%"
"Oct 10, 2018","7.9768","7.9558","7.9954","7.9448","0.28%"
"Oct 09, 2018","7.9546","7.9635","7.9684","7.9143","-0.13%"
"Oct 08, 2018","7.9648","7.9141","7.9710","7.9113","0.62%"
"Oct 05, 2018","7.9157","7.9088","7.9336","7.8875","0.08%"
"Oct 04, 2018","7.9092","7.8830","7.9277","7.8735","0.32%"
"Oct 03, 2018","7.8841","7.9322","7.9645","7.8751","-0.61%"
"Oct 02, 2018","7.9322","7.9542","7.9554","7.9032","-0.26%"
"Oct 01, 2018","7.9527","7.9741","7.9885","7.9425","-0.27%"
"Sep 28, 2018","7.9741","8.0185","8.0244","7.9536","-0.59%"
"Sep 27, 2018","8.0213","8.0750","8.0882","8.0178","-0.66%"
"Sep 26, 2018","8.0748","8.0780","8.1154","8.0646","-0.10%"
"Sep 25, 2018","8.0832","8.0581","8.1085","8.0541","0.34%"
"Sep 24, 2018","8.0557","8.0578","8.1030","8.0386","-0.02%"
"Sep 21, 2018","8.0571","8.0627","8.0689","8.0432","-0.07%"
"Sep 20, 2018","8.0631","7.9925","8.0699","7.9884","0.86%"
"Sep 19, 2018","7.9940","8.0038","8.0280","7.9824","-0.15%"
"Sep 18, 2018","8.0061","8.0110","8.0498","7.9944","-0.07%"
"Sep 17, 2018","8.0114","7.9858","8.0267","7.9816","0.28%"
"Sep 14, 2018","7.9890","7.9991","8.0327","7.9808","-0.16%"
"Sep 13, 2018","8.0015","7.9778","8.0056","7.9523","0.32%"
