"Date","Price","Open","High","Low","Change %"
"Apr 03, 2019","7.8495","7.8498","7.8501","7.8486","-0.00%"
"Apr 02, 2019","7.8498","7.8496","7.8502","7.8491","0.00%"
"Apr 01, 2019","7.8498","7.8496","7.8499","7.8492","-0.00%"
"Mar 29, 2019","7.8499","7.8501","7.8504","7.8498","0.00%"
"Mar 28, 2019","7.8498","7.8488","7.8501","7.8486","0.01%"
"Mar 27, 2019","7.8487","7.8492","7.8498","7.8483","-0.01%"
"Mar 26, 2019","7.8494","7.8468","7.8495","7.8467","0.03%"
"Mar 25, 2019","7.8469","7.8472","7.8491","7.8456","-0.01%"
"Mar 22, 2019","7.8473","7.8473","7.8480","7.8452","0.00%"
"Mar 21, 2019","7.8473","7.8498","7.8498","7.8452","-0.03%"
"Mar 20, 2019","7.8498","7.8499","7.8501","7.8495","0.00%"
"Mar 19, 2019","7.8498","7.8498","7.8501","7.8494","-0.00%"
"Mar 18, 2019","7.8499","7.8501","7.8501","7.8486","-0.00%"
"Mar 15, 2019","7.8501","7.8498","7.8503","7.8483","0.00%"
"Mar 14, 2019","7.8499","7.8496","7.8501","7.8492","0.00%"
"Mar 13, 2019","7.8499","7.8499","7.8500","7.8497","0.00%"
"Mar 12, 2019","7.8499","7.8498","7.8503","7.8494","0.00%"
"Mar 11, 2019","7.8498","7.8497","7.8500","7.8491","0.00%"
"Mar 08, 2019","7.8498","7.8499","7.8502","7.8497","-0.00%"
"Mar 07, 2019","7.8499","7.8497","7.8500","7.8490","0.00%"
"Mar 06, 2019","7.8499","7.8497","7.8501","7.8495","0.00%"
"Mar 05, 2019","7.8498","7.8491","7.8499","7.8490","0.01%"
"Mar 04, 2019","7.8491","7.8487","7.8498","7.8486","0.01%"
"Mar 01, 2019","7.8487","7.8498","7.8499","7.8476","-0.02%"
"Feb 28, 2019","7.8499","7.8494","7.8499","7.8488","0.00%"
"Feb 27, 2019","7.8496","7.8491","7.8498","7.8488","0.01%"
"Feb 26, 2019","7.8491","7.8487","7.8498","7.8483","0.01%"
"Feb 25, 2019","7.8487","7.8483","7.8494","7.8478","0.01%"
"Feb 22, 2019","7.8482","7.8472","7.8491","7.8468","0.01%"
"Feb 21, 2019","7.8472","7.8491","7.8492","7.8460","-0.02%"
"Feb 20, 2019","7.8491","7.8487","7.8495","7.8483","0.01%"
"Feb 19, 2019","7.8487","7.8479","7.8494","7.8475","0.01%"
"Feb 18, 2019","7.8478","7.8481","7.8485","7.8472","-0.00%"
"Feb 15, 2019","7.8479","7.8472","7.8486","7.8471","0.01%"
"Feb 14, 2019","7.8472","7.8484","7.8487","7.8468","-0.02%"
"Feb 13, 2019","7.8484","7.8484","7.8491","7.8476","-0.00%"
"Feb 12, 2019","7.8486","7.8478","7.8489","7.8465","0.01%"
"Feb 11, 2019","7.8478","7.8471","7.8488","7.8463","0.01%"
"Feb 08, 2019","7.8473","7.8476","7.8479","7.8450","-0.00%"
"Feb 07, 2019","7.8476","7.8463","7.8479","7.8450","0.02%"
"Feb 06, 2019","7.8464","7.8454","7.8468","7.8449","0.01%"
"Feb 05, 2019","7.8454","7.8467","7.8467","7.8445","-0.02%"
"Feb 04, 2019","7.8466","7.8469","7.8472","7.8441","-0.00%"
"Feb 01, 2019","7.8468","7.8467","7.8476","7.8434","0.00%"
"Jan 31, 2019","7.8468","7.8438","7.8472","7.8404","0.05%"
"Jan 30, 2019","7.8429","7.8463","7.8466","7.8375","-0.04%"
"Jan 29, 2019","7.8461","7.8457","7.8468","7.8454","0.00%"
"Jan 28, 2019","7.8460","7.8453","7.8467","7.8450","0.00%"
"Jan 25, 2019","7.8457","7.8457","7.8469","7.8448","-0.00%"
"Jan 24, 2019","7.8458","7.8453","7.8472","7.8444","0.01%"
"Jan 23, 2019","7.8453","7.8461","7.8472","7.8449","0.00%"
"Jan 22, 2019","7.8453","7.8454","7.8469","7.8450","0.00%"
"Jan 21, 2019","7.8453","7.8437","7.8460","7.8427","0.02%"
"Jan 18, 2019","7.8434","7.8429","7.8450","7.8427","0.01%"
"Jan 17, 2019","7.8430","7.8457","7.8457","7.8422","0.00%"
"Jan 16, 2019","7.8430","7.8431","7.8457","7.8429","-0.00%"
"Jan 15, 2019","7.8433","7.8425","7.8444","7.8411","0.01%"
"Jan 14, 2019","7.8422","7.8393","7.8440","7.8393","0.04%"
"Jan 11, 2019","7.8393","7.8384","7.8421","7.8381","0.01%"
"Jan 10, 2019","7.8385","7.8376","7.8403","7.8369","0.01%"
"Jan 09, 2019","7.8376","7.8388","7.8411","7.8366","-0.02%"
"Jan 08, 2019","7.8388","7.8344","7.8394","7.8343","0.05%"
"Jan 07, 2019","7.8345","7.8341","7.8376","7.8328","0.00%"
"Jan 04, 2019","7.8345","7.8308","7.8358","7.8274","0.05%"
"Jan 03, 2019","7.8304","7.8331","7.8355","7.8300","-0.04%"
"Jan 02, 2019","7.8332","7.8312","7.8377","7.8308","0.02%"
"Jan 01, 2019","7.8318","7.8313","7.8319","7.8307","0.00%"
"Dec 31, 2018","7.8316","7.8304","7.8338","7.8289","0.02%"
"Dec 28, 2018","7.8304","7.8303","7.8343","7.8282","0.01%"
"Dec 27, 2018","7.8294","7.8286","7.8353","7.8267","0.01%"
"Dec 26, 2018","7.8285","7.8323","7.8338","7.8274","-0.05%"
"Dec 25, 2018","7.8327","7.8328","7.8342","7.8320","0.00%"
"Dec 24, 2018","7.8327","7.8323","7.8347","7.8284","0.00%"
"Dec 21, 2018","7.8327","7.8301","7.8346","7.8239","0.03%"
"Dec 20, 2018","7.8303","7.8265","7.8316","7.8238","0.05%"
"Dec 19, 2018","7.8267","7.8192","7.8273","7.8187","0.10%"
"Dec 18, 2018","7.8192","7.8132","7.8216","7.8125","0.08%"
"Dec 17, 2018","7.8126","7.8128","7.8153","7.8112","-0.01%"
"Dec 14, 2018","7.8133","7.8127","7.8180","7.8075","0.01%"
"Dec 13, 2018","7.8125","7.8135","7.8156","7.8076","-0.01%"
"Dec 12, 2018","7.8134","7.8171","7.8179","7.8129","-0.05%"
"Dec 11, 2018","7.8170","7.8155","7.8175","7.8125","0.02%"
"Dec 10, 2018","7.8156","7.8156","7.8164","7.8121","-0.01%"
"Dec 07, 2018","7.8160","7.8105","7.8174","7.8082","0.07%"
"Dec 06, 2018","7.8106","7.8129","7.8177","7.8080","-0.03%"
"Dec 05, 2018","7.8129","7.8037","7.8160","7.8023","0.12%"
"Dec 04, 2018","7.8036","7.8152","7.8181","7.8011","-0.15%"
"Dec 03, 2018","7.8153","7.8240","7.8257","7.8149","-0.11%"
"Nov 30, 2018","7.8236","7.8220","7.8266","7.8190","0.02%"
"Nov 29, 2018","7.8217","7.8254","7.8274","7.8212","-0.05%"
"Nov 28, 2018","7.8255","7.8262","7.8286","7.8239","-0.01%"
"Nov 27, 2018","7.8266","7.8235","7.8299","7.8205","0.04%"
"Nov 26, 2018","7.8235","7.8261","7.8270","7.8205","-0.03%"
"Nov 23, 2018","7.8257","7.8307","7.8307","7.8232","-0.06%"
"Nov 22, 2018","7.8305","7.8331","7.8332","7.8277","-0.03%"
"Nov 21, 2018","7.8332","7.8301","7.8335","7.8293","0.04%"
"Nov 20, 2018","7.8303","7.8319","7.8335","7.8300","-0.02%"
"Nov 19, 2018","7.8320","7.8296","7.8335","7.8293","0.03%"
"Nov 16, 2018","7.8293","7.8293","7.8335","7.8281","-0.00%"
"Nov 15, 2018","7.8294","7.8305","7.8343","7.8285","-0.02%"
"Nov 14, 2018","7.8313","7.8305","7.8335","7.8301","0.01%"
"Nov 13, 2018","7.8307","7.8338","7.8349","7.8277","-0.04%"
"Nov 12, 2018","7.8342","7.8319","7.8350","7.8286","0.02%"
"Nov 09, 2018","7.8323","7.8266","7.8332","7.8263","0.07%"
"Nov 08, 2018","7.8266","7.8300","7.8328","7.8242","-0.05%"
"Nov 07, 2018","7.8304","7.8315","7.8351","7.8281","-0.02%"
"Nov 06, 2018","7.8317","7.8315","7.8372","7.8280","0.00%"
"Nov 05, 2018","7.8315","7.8172","7.8362","7.8172","0.18%"
"Nov 02, 2018","7.8172","7.8338","7.8391","7.8125","-0.21%"
"Nov 01, 2018","7.8339","7.8412","7.8441","7.8338","-0.09%"
"Oct 31, 2018","7.8411","7.8434","7.8476","7.8387","-0.03%"
"Oct 30, 2018","7.8435","7.8433","7.8468","7.8425","0.01%"
"Oct 29, 2018","7.8430","7.8407","7.8438","7.8399","0.03%"
"Oct 26, 2018","7.8407","7.8407","7.8415","7.8384","-0.00%"
"Oct 25, 2018","7.8408","7.8407","7.8414","7.8362","0.00%"
"Oct 24, 2018","7.8408","7.8385","7.8423","7.8380","0.03%"
"Oct 23, 2018","7.8385","7.8393","7.8406","7.8379","-0.01%"
"Oct 22, 2018","7.8395","7.8403","7.8414","7.8380","-0.02%"
"Oct 19, 2018","7.8412","7.8384","7.8421","7.8380","0.04%"
"Oct 18, 2018","7.8384","7.8392","7.8399","7.8379","-0.01%"
"Oct 17, 2018","7.8392","7.8361","7.8399","7.8360","0.04%"
"Oct 16, 2018","7.8362","7.8350","7.8380","7.8341","0.02%"
"Oct 15, 2018","7.8349","7.8331","7.8380","7.8331","0.00%"
"Oct 12, 2018","7.8347","7.8343","7.8369","7.8319","0.00%"
"Oct 11, 2018","7.8345","7.8370","7.8380","7.8341","-0.03%"
"Oct 10, 2018","7.8372","7.8334","7.8380","7.8328","0.05%"
